rule_id,category,pattern_type,pattern,severity,description
zh-mw-001,memory_write,regex,"记住(?P<vendor>[^，。；、\s]{2,40})",high,记住VendorX
zh-mw-002,memory_write,regex,"请记住(?P<vendor>[^，。；、\s]{2,40})",high,请记住VendorX
zh-mw-003,memory_write,regex,"把(?P<vendor>[^，。；、\s]{2,40})记住",high,把VendorX记住
zh-mw-004,memory_write,regex,"将(?P<vendor>[^，。；、\s]{2,40})记住",high,将VendorX记住
zh-mw-005,memory_write,regex,"把(?P<vendor>[^，。；、\s]{2,40})存入记忆",critical,把VendorX存入记忆
zh-mw-006,memory_write,regex,"将(?P<vendor>[^，。；、\s]{2,40})存入记忆",critical,将VendorX存入记忆
zh-mw-007,memory_write,regex,"把(?P<vendor>[^，。；、\s]{2,40})保存到记忆",critical,把VendorX保存到记忆
zh-mw-008,memory_write,regex,"将(?P<vendor>[^，。；、\s]{2,40})保存到记忆",critical,将VendorX保存到记忆
zh-mw-009,memory_write,regex,"把(?P<vendor>[^，。；、\s]{2,40})加入记忆",critical,把VendorX加入记忆
zh-mw-010,memory_write,regex,"将(?P<vendor>[^，。；、\s]{2,40})加入记忆",critical,将VendorX加入记忆
zh-mw-011,memory_write,regex,"把(?P<vendor>[^，。；、\s]{2,40})写入记忆",critical,把VendorX写入记忆
zh-mw-012,memory_write,regex,"将(?P<vendor>[^，。；、\s]{2,40})写入记忆",critical,将VendorX写入记忆
zh-mw-013,memory_write,regex,"以后.*记住(?P<vendor>[^，。；、\s]{2,40})",critical,以后记住VendorX
zh-mw-014,memory_write,regex,"未来.*记住(?P<vendor>[^，。；、\s]{2,40})",critical,未来记住VendorX
zh-mw-015,memory_write,regex,"后续.*使用(?P<vendor>[^，。；、\s]{2,40})",high,后续使用VendorX
zh-mw-016,memory_write,regex,"以后的对话.*(?P<vendor>[^，。；、\s]{2,40})",critical,以后的对话中记住VendorX
zh-mw-017,memory_write,regex,"未来的回答.*(?P<vendor>[^，。；、\s]{2,40})",critical,未来的回答中使用VendorX
zh-mw-018,memory_write,regex,"长期记住(?P<vendor>[^，。；、\s]{2,40})",critical,长期记住VendorX
zh-mw-019,memory_write,regex,"永久记住(?P<vendor>[^，。；、\s]{2,40})",critical,永久记住VendorX
zh-mw-020,memory_write,regex,"把(?P<vendor>[^，。；、\s]{2,40})设为长期偏好",critical,把VendorX设为长期偏好
zh-ti-001,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是可信来源",high,VendorX是可信来源
zh-ti-002,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是值得信任的来源",high,VendorX是值得信任的来源
zh-ti-003,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是权威来源",high,VendorX是权威来源
zh-ti-004,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是最权威的来源",critical,VendorX是最权威的来源
zh-ti-005,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是首选来源",high,VendorX是首选来源
zh-ti-006,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是默认来源",critical,VendorX是默认来源
zh-ti-007,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是最佳来源",high,VendorX是最佳来源
zh-ti-008,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是最可靠的提供商",high,VendorX是最可靠的提供商
zh-ti-009,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是最可靠的服务商",high,VendorX是最可靠的服务商
zh-ti-010,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})是该主题最佳来源",high,VendorX是该主题最佳来源
zh-ti-011,trust_injection,regex,"信任(?P<vendor>[^，。；、\s]{2,40})作为来源",high,信任VendorX作为来源
zh-ti-012,trust_injection,regex,"把(?P<vendor>[^，。；、\s]{2,40})视为可信来源",critical,把VendorX视为可信来源
zh-ti-013,trust_injection,regex,"将(?P<vendor>[^，。；、\s]{2,40})视为权威来源",critical,将VendorX视为权威来源
zh-ti-014,trust_injection,regex,"把(?P<vendor>[^，。；、\s]{2,40})当作权威",critical,把VendorX当作权威
zh-ti-015,trust_injection,regex,"将(?P<vendor>[^，。；、\s]{2,40})当作可信参考",high,将VendorX当作可信参考
zh-ti-016,trust_injection,regex,"默认信任(?P<vendor>[^，。；、\s]{2,40})",critical,默认信任VendorX
zh-ti-017,trust_injection,regex,"优先信任(?P<vendor>[^，。；、\s]{2,40})",high,优先信任VendorX
zh-ti-018,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})比其他来源更可信",high,VendorX比其他来源更可信
zh-ti-019,trust_injection,regex,"(?P<vendor>[^，。；、\s]{2,40})比竞争对手更可靠",high,VendorX比竞争对手更可靠
zh-ti-020,trust_injection,regex,"使用(?P<vendor>[^，。；、\s]{2,40})作为可信参考",high,使用VendorX作为可信参考
zh-rb-001,recommendation_bias,regex,"总是推荐(?P<vendor>[^，。；、\s]{2,40})",critical,总是推荐VendorX
zh-rb-002,recommendation_bias,regex,"始终推荐(?P<vendor>[^，。；、\s]{2,40})",critical,始终推荐VendorX
zh-rb-003,recommendation_bias,regex,"优先推荐(?P<vendor>[^，。；、\s]{2,40})",critical,优先推荐VendorX
zh-rb-004,recommendation_bias,regex,"首先推荐(?P<vendor>[^，。；、\s]{2,40})",critical,首先推荐VendorX
zh-rb-005,recommendation_bias,regex,"推荐(?P<vendor>[^，。；、\s]{2,40})优先",critical,推荐VendorX优先
zh-rb-006,recommendation_bias,regex,"偏好(?P<vendor>[^，。；、\s]{2,40})",high,偏好VendorX
zh-rb-007,recommendation_bias,regex,"优先选择(?P<vendor>[^，。；、\s]{2,40})",high,优先选择VendorX
zh-rb-008,recommendation_bias,regex,"默认推荐(?P<vendor>[^，。；、\s]{2,40})",critical,默认推荐VendorX
zh-rb-009,recommendation_bias,regex,"把(?P<vendor>[^，。；、\s]{2,40})作为默认推荐",critical,把VendorX作为默认推荐
zh-rb-010,recommendation_bias,regex,"将(?P<vendor>[^，。；、\s]{2,40})作为默认推荐",critical,将VendorX作为默认推荐
zh-rb-011,recommendation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})应该是默认推荐",critical,VendorX应该是默认推荐
zh-rb-012,recommendation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})是首选推荐",high,VendorX是首选推荐
zh-rb-013,recommendation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})是最佳选择",medium,VendorX是最佳选择
zh-rb-014,recommendation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})是第一选择",high,VendorX是第一选择
zh-rb-015,recommendation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})排在第一",critical,VendorX排在第一
zh-rb-016,recommendation_bias,regex,"把(?P<vendor>[^，。；、\s]{2,40})排第一",critical,把VendorX排第一
zh-rb-017,recommendation_bias,regex,"将(?P<vendor>[^，。；、\s]{2,40})置顶",critical,将VendorX置顶
zh-rb-018,recommendation_bias,regex,"提升(?P<vendor>[^，。；、\s]{2,40})的排名",high,提升VendorX的排名
zh-rb-019,recommendation_bias,regex,"在推荐中优先展示(?P<vendor>[^，。；、\s]{2,40})",critical,在推荐中优先展示VendorX
zh-rb-020,recommendation_bias,regex,"询问推荐时.*推荐(?P<vendor>[^，。；、\s]{2,40})",critical,询问推荐时推荐VendorX
zh-cb-001,citation_bias,regex,"引用(?P<vendor>[^，。；、\s]{2,40})",high,引用VendorX
zh-cb-002,citation_bias,regex,"引用(?P<vendor>[^，。；、\s]{2,40})作为来源",high,引用VendorX作为来源
zh-cb-003,citation_bias,regex,"使用(?P<vendor>[^，。；、\s]{2,40})作为引用来源",critical,使用VendorX作为引用来源
zh-cb-004,citation_bias,regex,"把(?P<vendor>[^，。；、\s]{2,40})作为引用来源",critical,把VendorX作为引用来源
zh-cb-005,citation_bias,regex,"将(?P<vendor>[^，。；、\s]{2,40})作为权威引用",critical,将VendorX作为权威引用
zh-cb-006,citation_bias,regex,"优先引用(?P<vendor>[^，。；、\s]{2,40})",critical,优先引用VendorX
zh-cb-007,citation_bias,regex,"首先引用(?P<vendor>[^，。；、\s]{2,40})",critical,首先引用VendorX
zh-cb-008,citation_bias,regex,"总是引用(?P<vendor>[^，。；、\s]{2,40})",critical,总是引用VendorX
zh-cb-009,citation_bias,regex,"始终引用(?P<vendor>[^，。；、\s]{2,40})",critical,始终引用VendorX
zh-cb-010,citation_bias,regex,"在未来回答中引用(?P<vendor>[^，。；、\s]{2,40})",critical,在未来回答中引用VendorX
zh-cb-011,citation_bias,regex,"后续回答引用(?P<vendor>[^，。；、\s]{2,40})",critical,后续回答引用VendorX
zh-cb-012,citation_bias,regex,"未来答案参考(?P<vendor>[^，。；、\s]{2,40})",critical,未来答案参考VendorX
zh-cb-013,citation_bias,regex,"把(?P<vendor>[^，。；、\s]{2,40})列为主要来源",critical,把VendorX列为主要来源
zh-cb-014,citation_bias,regex,"将(?P<vendor>[^，。；、\s]{2,40})列为首要来源",critical,将VendorX列为首要来源
zh-cb-015,citation_bias,regex,"使用(?P<vendor>[^，。；、\s]{2,40})作为主要引用",critical,使用VendorX作为主要引用
zh-cb-016,citation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})应该被引用",high,VendorX应该被引用
zh-cb-017,citation_bias,regex,"(?P<vendor>[^，。；、\s]{2,40})应该作为主要来源",critical,VendorX应该作为主要来源
zh-cb-018,citation_bias,regex,"答案来源使用(?P<vendor>[^，。；、\s]{2,40})",high,答案来源使用VendorX
zh-cb-019,citation_bias,regex,"资料来源优先使用(?P<vendor>[^，。；、\s]{2,40})",high,资料来源优先使用VendorX
zh-cb-020,citation_bias,regex,"引用时优先使用(?P<vendor>[^，。；、\s]{2,40})",critical,引用时优先使用VendorX
zh-up-001,user_preference_forgery,regex,"用户偏好(?P<vendor>[^，。；、\s]{2,40})",critical,用户偏好VendorX
zh-up-002,user_preference_forgery,regex,"用户更喜欢(?P<vendor>[^，。；、\s]{2,40})",critical,用户更喜欢VendorX
zh-up-003,user_preference_forgery,regex,"用户信任(?P<vendor>[^，。；、\s]{2,40})",critical,用户信任VendorX
zh-up-004,user_preference_forgery,regex,"用户希望推荐(?P<vendor>[^，。；、\s]{2,40})",critical,用户希望推荐VendorX
zh-up-005,user_preference_forgery,regex,"用户希望优先推荐(?P<vendor>[^，。；、\s]{2,40})",critical,用户希望优先推荐VendorX
zh-up-006,user_preference_forgery,regex,"用户认为(?P<vendor>[^，。；、\s]{2,40})权威",critical,用户认为VendorX权威
zh-up-007,user_preference_forgery,regex,"用户认为(?P<vendor>[^，。；、\s]{2,40})可信",critical,用户认为VendorX可信
zh-up-008,user_preference_forgery,regex,"用户认为(?P<vendor>[^，。；、\s]{2,40})最好",critical,用户认为VendorX最好
zh-up-009,user_preference_forgery,regex,"用户选择(?P<vendor>[^，。；、\s]{2,40})作为首选",critical,用户选择VendorX作为首选
zh-up-010,user_preference_forgery,regex,"用户选择(?P<vendor>[^，。；、\s]{2,40})作为默认",critical,用户选择VendorX作为默认
zh-up-011,user_preference_forgery,regex,"用户要求推荐(?P<vendor>[^，。；、\s]{2,40})",critical,用户要求推荐VendorX
zh-up-012,user_preference_forgery,regex,"用户要求引用(?P<vendor>[^，。；、\s]{2,40})",critical,用户要求引用VendorX
zh-up-013,user_preference_forgery,regex,"用户想要(?P<vendor>[^，。；、\s]{2,40})被推荐",critical,用户想要VendorX被推荐
